"","study","vp","reward_b1","reward_b2","reward_b3","reward_b4","choice","rt"
"27","chakroun",1,51.0763570587843,78.7012413888825,59.2008577294858,35.0465671007344,2,0.566802523624574
"28","chakroun",1,47.2799012465908,71.6091960023574,58.4146723717709,32.3792477156998,2,0.476033099483175
"29","chakroun",1,44.3151045129862,63.9612197535372,53.4859018730074,34.2739052433461,2,0.606500494504871
"30","chakroun",1,43.4318285093907,66.4380860889665,56.7833353034506,38.3776528061643,2,0.361469023384416
"31","chakroun",1,42.4482422668618,67.2359766668819,56.0978856865477,35.9650519013784,3,0.27444641549846
"32","chakroun",1,49.5696497274858,66.5951783004999,59.3614875284251,43.4379784848809,2,0.356107284491372
"33","chakroun",1,43.2053352457143,58.7966809317465,54.0621575833297,38.2671338138627,1,0.258886107802027
"34","chakroun",1,45.1705441939778,66.5570360110317,61.2605424652022,39.3056948196451,4,0.282067444562927
"35","chakroun",1,45.6819516625262,67.9623728774614,63.7211711458174,39.9363351730936,2,0.317546189206041
"36","chakroun",1,34.4598803147415,61.5521077975384,55.4775862127912,28.2571310300033,2,0.592237768003542
"37","chakroun",1,37.1576547353938,65.4246917213457,59.7847570871653,35.0795218020543,2,0.408058159429856
"38","chakroun",1,41.2735641304887,74.7877233073232,63.5044150990519,35.9078745151728,2,0.541993372220531
"39","chakroun",1,38.4987238059203,72.350450625424,64.100099461821,37.8592571975154,2,0.535133842648065
"40","chakroun",1,44.9156225921321,72.8781663023653,61.8813934906327,39.1224273680504,2,0.46802146940172
"41","chakroun",1,49.0804615329964,78.2725475127515,67.9140654344522,40.7178514613592,2,0.553900985420114
"42","chakroun",1,38.4823642598883,66.367228998579,58.6254850492099,37.2377946189214,2,0.483270063135933
"43","chakroun",1,45.0869221108908,69.9162490412407,68.9077683596577,42.0511705769598,2,0.598477514096885
"44","chakroun",1,41.8006864397598,70.814921383475,65.4423689990346,38.3714347318567,2,0.413155997603099
"45","chakroun",1,50.6653728037463,77.3376528577849,77.8060332580651,45.368260747061,2,0.42544186813393
"46","chakroun",1,55.7731394611377,77.6206568898434,73.3463147323942,45.7657312813507,2,0.675707112693999
"47","chakroun",1,55.1918254147001,66.5487513733944,63.1687952345624,44.6518653061214,2,0.536537531455906
"48","chakroun",1,54.2780574220808,68.058370381369,57.3455744406364,39.1805414733451,2,0.652281572971333
"49","chakroun",1,54.6917086889343,64.4060921437506,55.7391217617941,37.6777011131866,2,1.11271000605666
"50","chakroun",1,49.9295981537841,59.1516998577966,54.2012772309622,39.9188670904764,2,0.588183879523058
"51","chakroun",1,43.3251545934707,56.8621349073115,50.0847641880681,32.8717767627704,4,0.411452009298955
"52","chakroun",1,55.5573344665812,67.2463083331355,64.7596427746324,45.6883348703718,1,0.326885868125828
"53","chakroun",1,40.0413273068154,56.8405305236215,52.9396472543756,33.3184053182748,3,0.378349893917402
"54","chakroun",1,46.888070638935,55.4957930934627,55.7760992520564,31.198197003021,2,0.394731152948225
"55","chakroun",1,48.3609689570445,59.1996690660231,56.7579651271221,30.8497785868142,3,0.36468008562224
"56","chakroun",1,43.286217327297,56.441395075547,56.9318009410258,27.0846139886467,3,0.774307078154379
"57","chakroun",1,50.1249447386637,65.2420842540511,67.3229696779406,31.9366831635474,3,0.59379932345837
"58","chakroun",1,56.7728205980208,60.9303464059408,70.7171495900275,28.9765693630341,3,0.636550049988728
"59","chakroun",1,50.7100441094327,61.4763316638059,66.2462055941291,29.3704439952899,3,0.393830942095519
"60","chakroun",1,53.5801025926246,62.0238815356054,67.6227310803183,29.2190338586092,2,0.330617521256499
"61","chakroun",1,49.0659772997998,55.6234806370378,64.4945209179834,25.9040281571617,1,0.36893995401806
"62","chakroun",1,36.7707385928523,41.4022184124045,56.3654884932736,17.3276444165122,3,0.435225370345506
"63","chakroun",1,50.6463455416418,57.4896451413928,69.5060578534528,33.517580489834,2,0.435333835544952
"64","chakroun",1,43.7910457604676,54.2109717780647,65.659105470139,32.3125261269466,3,0.489462193812869
"65","chakroun",1,43.4447441061345,47.7127358629289,62.8405433982774,30.9479952045225,3,0.396809265175762
